ZIP,City/Location Name,STATE,2010 Census Population,FIPS Code,StCtyCode,County Name,Zip Code Designation
99546,Adak,AK,* 525,02016,02016,ALEUTIANS WEST,Low Income Area/HPSA
99551,Akiachak,AK,* 104,02050,02050,BETHEL,Low Income Area/HPSA
99553,Akutan,AK,"* 1,027",02013,02013,ALEUTIANS EAST,Low Income Area/HPSA
99554,Alakanuk,AK,"* 1,439",02270,02270,WADE HAMPTON,Low Income Area/HPSA
99555,Aleknagik,AK,* 219,02070,02070,DILLINGHAM,Low Income Area/HPSA
99720,Allakaket,AK,* 32,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99721,Anaktuvuk Pass,AK,* 324,02185,02185,NORTH SLOPE,Low Income Area/HPSA
99556,Anchor Point,AK,"* 2,512",02122,02122,KENAI PENINSULA,Low Income Area
99501,Anchorage,AK,"* 17,943",02020,02020,ANCHORAGE,Low Income Area
99503,Anchorage,AK,"* 14,497",02020,02020,ANCHORAGE,Low Income Area
99508,Anchorage,AK,"* 35,833",02020,02020,ANCHORAGE,Low Income Area
99744,Anderson,AK,* 66,02068,02068,DENALI ,HPSA
99820,Angoon,AK,* 479,02105,02030,ANGOON ,Low Income Area/HPSA
99557,Aniak,AK,* 333,02050,02050,BETHEL,Low Income Area/HPSA
99558,Anvik,AK,* 279,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99722,Arctic Village,AK,* 152,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99547,Atka,AK,* 61,02016,02016,ALEUTIANS WEST,Low Income Area/HPSA
99723,Barrow,AK,"* 4,715",02185,02185,NORTH SLOPE,HPSA
99724,Beaver,AK,* 84,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99559,Bethel,AK,"* 11,725",02050,02050,BETHEL,Low Income Area/HPSA
99726,Bettles Field,AK,* 76,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99785,Brevig Mission,AK,* 388,02180,02180,NOME,Low Income Area/HPSA
99727,Buckland,AK,* 416,02188,02188,NORTHWEST ARTIC,Low Income Area/HPSA
99729,Cantwell,AK,* 320,02068,02068,DENALI ,HPSA
99730,Central,AK,* 121,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99561,Chefornak,AK,* 418,02050,02050,BETHEL,Low Income Area/HPSA
99564,Chignik,AK,* 91,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99565,Chignik Lagoon,AK,* 78,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99733,Circle,AK,* 39,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99569,Clarks Point,AK,* 66,02070,02070,DILLINGHAM,Low Income Area/HPSA
99704,Clear,AK,* 345,02068,02068,DENALI ,Low Income Area/HPSA
99571,Cold Bay,AK,* 163,02013,02013,ALEUTIANS EAST,Low Income Area/HPSA
99573,Copper Center,AK,"* 1,869",02261,02260,VALDZ-CHITNA-WHITIER ,Low Income Area/HPSA
99574,Cordova,AK,"* 2,256",02261,02260,VALDZ-CHITNA-WHITIER ,HPSA
99921,Craig,AK,"* 1,534",02198,02200,PRINCE OF WALES ,Low Income Area/HPSA
99575,Crooked Creek,AK,* 1,02050,02050,BETHEL,HPSA
99736,Deering,AK,* 122,02188,02188,NORTHWEST ARTIC,Low Income Area/HPSA
99737,Delta Junction,AK,"* 4,981",02240,02240,SOUTHEAST FAIRBANKS,HPSA
99755,Denali National Park,AK,* 21,02068,02068,DENALI ,HPSA
99576,Dillingham,AK,"* 3,239",02070,02070,DILLINGHAM,Low Income Area/HPSA
99578,Eek,AK,* 669,02050,02050,BETHEL,Low Income Area/HPSA
99579,Egegik,AK,* 66,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99702,Eielson AFB,AK,"* 2,668",02090,02090,FAIRBANKS NORTH STAR,HPSA
99580,Ekwok,AK,* 115,02070,02070,DILLINGHAM,Low Income Area/HPSA
99825,Elfin Cove,AK,* 22,02105,02030,ANGOON ,Low Income Area/HPSA
99739,Elim,AK,* 330,02180,02180,NOME,Low Income Area/HPSA
99506,Elmendorf AFB,AK,"* 7,749",02020,02020,ANCHORAGE,Low Income Area
99701,Fairbanks,AK,"* 18,695",02090,02090,FAIRBANKS NORTH STAR,Low Income Area/HPSA
99709,Fairbanks,AK,"* 31,033",02090,02090,FAIRBANKS NORTH STAR,HPSA
99712,Fairbanks,AK,* 2,02090,02090,FAIRBANKS NORTH STAR,HPSA
99712,Fairbanks,AK,"* 14,090",02090,02090,FAIRBANKS NORTH STAR,HPSA
99583,False Pass,AK,* 35,02013,02013,ALEUTIANS EAST,Low Income Area/HPSA
99505,Fort Richardson,AK,"* 6,174",02020,02020,ANCHORAGE,Low Income Area
99703,Fort Wainwright,AK,"* 7,325",02090,02090,FAIRBANKS NORTH STAR,Low Income Area/HPSA
99740,Fort Yukon,AK,* 616,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99586,Gakona,AK,* 291,02261,02260,VALDZ-CHITNA-WHITIER ,Low Income Area/HPSA
99741,Galena,AK,* 90,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99742,Gambell,AK,* 681,02180,02180,NOME,Low Income Area/HPSA
99588,Glennallen,AK,* 792,02261,02260,VALDZ-CHITNA-WHITIER ,Low Income Area/HPSA
99589,Goodnews Bay,AK,* 243,02050,02050,BETHEL,Low Income Area/HPSA
99826,Gustavus,AK,* 517,02105,02030,ANGOON ,Low Income Area/HPSA
99827,Haines,AK,* 95,02100,02100,HAINES,HPSA
99743,Healy,AK,"* 1,419",02068,02068,DENALI ,HPSA
99743,Healy,AK,* 164,02068,02068,DENALI ,HPSA
99602,Holy Cross,AK,* 178,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99603,Homer,AK,"* 10,252",02122,02122,KENAI PENINSULA,Low Income Area
99829,Hoonah,AK,"* 1,037",02105,02030,ANGOON ,Low Income Area/HPSA
99604,Hooper Bay,AK,"* 2,031",02270,02270,WADE HAMPTON,Low Income Area/HPSA
99745,Hughes,AK,* 12,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99746,Huslia,AK,* 254,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99922,Hydaburg,AK,* 493,02198,02200,PRINCE OF WALES ,Low Income Area/HPSA
99923,Hyder,AK,* 92,02198,02200,PRINCE OF WALES ,HPSA
99606,Iliamna,AK,* 311,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99801,Juneau,AK,* 3,02110,02110,JUNEAU,HPSA
99747,Kaktovik,AK,* 239,02185,02185,NORTH SLOPE,Low Income Area/HPSA
99607,Kalskag,AK,* 210,02050,02050,BETHEL,Low Income Area/HPSA
99748,Kaltag,AK,* 190,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99950,Ketchikan,AK,* 808,02130,02130,KETCHIKAN GATEWAY,Low Income Area/HPSA
99901,Ketchikan,AK,"* 12,167",02130,02130,KETCHIKAN GATEWAY,HPSA
99749,Kiana,AK,* 636,02188,02188,NORTHWEST ARTIC,Low Income Area/HPSA
99612,King Cove,AK,* 938,02013,02013,ALEUTIANS EAST,Low Income Area/HPSA
99613,King Salmon,AK,* 229,02060,02060,BRISTOL BAY BOROUGH,HPSA
99614,Kipnuk,AK,* 365,02050,02050,BETHEL,Low Income Area/HPSA
99750,Kivalina,AK,"* 1,223",02188,02188,NORTHWEST ARTIC,Low Income Area/HPSA
99925,Klawock,AK,* 793,02198,02200,PRINCE OF WALES ,Low Income Area/HPSA
99751,Kobuk,AK,* 414,02188,02188,NORTHWEST ARTIC,Low Income Area/HPSA
99620,Kotlik,AK,* 577,02270,02270,WADE HAMPTON,Low Income Area/HPSA
99752,Kotzebue,AK,"* 3,871",02188,02188,NORTHWEST ARTIC,Low Income Area/HPSA
99753,Koyuk,AK,* 332,02180,02180,NOME,Low Income Area/HPSA
99621,Kwethluk,AK,* 181,02050,02050,BETHEL,Low Income Area/HPSA
99622,Kwigillingok,AK,* 59,02050,02050,BETHEL,Low Income Area/HPSA
99757,Lake Minchumina,AK,* 13,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99625,Levelock,AK,* 293,02164,02164,LAKE AND PENINSULA,Low Income Area/HPSA
99626,Lower Kalskag,AK,* 282,02050,02050,BETHEL,Low Income Area/HPSA
99756,Manley Hot Springs,AK,* 97,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99628,Manokotak,AK,* 442,02070,02070,DILLINGHAM,Low Income Area/HPSA
99585,Marshall,AK,* 726,02270,02270,WADE HAMPTON,Low Income Area/HPSA
99627,MC Grath,AK,* 411,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99630,Mekoryuk,AK,* 191,02050,02050,BETHEL,Low Income Area/HPSA
99926,Metlakatla,AK,"* 1,490",02198,02200,PRINCE OF WALES ,Low Income Area/HPSA
99903,Meyers Chuck,AK,* 20,02275,02275,Wrangell City and Borough,Low Income Area
99758,Minto,AK,* 214,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99632,Mountain Village,AK,"* 1,002",02270,02270,WADE HAMPTON,Low Income Area/HPSA
99634,Napakiak,AK,* 184,02050,02050,BETHEL,Low Income Area/HPSA
99760,Nenana,AK,* 177,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
99636,New Stuyahok,AK,* 719,02070,02070,DILLINGHAM,Low Income Area/HPSA
99691,Nikolai,AK,* 94,02290,02290,YUKON-KOYUKUK,Low Income Area/HPSA
