,ZIP,City/Location Name,STATE,2010 Census Population,FIPS Code,StCtyCode,County Name,Zip Code Designation
0,99546,Adak,AK, 525,2016,2016,ALEUTIANS WEST,Low Income Area/HPSA
1,99551,Akiachak,AK, 104,2050,2050,BETHEL,Low Income Area/HPSA
2,99553,Akutan,AK," 1,027",2013,2013,ALEUTIANS EAST,Low Income Area/HPSA
3,99554,Alakanuk,AK," 1,439",2270,2270,WADE HAMPTON,Low Income Area/HPSA
4,99555,Aleknagik,AK, 219,2070,2070,DILLINGHAM,Low Income Area/HPSA
5,99720,Allakaket,AK, 32,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
6,99721,Anaktuvuk Pass,AK, 324,2185,2185,NORTH SLOPE,Low Income Area/HPSA
7,99556,Anchor Point,AK," 2,512",2122,2122,KENAI PENINSULA,Low Income Area
8,99501,Anchorage,AK," 17,943",2020,2020,ANCHORAGE,Low Income Area
9,99503,Anchorage,AK," 14,497",2020,2020,ANCHORAGE,Low Income Area
10,99508,Anchorage,AK," 35,833",2020,2020,ANCHORAGE,Low Income Area
11,99744,Anderson,AK, 66,2068,2068,DENALI ,HPSA
12,99820,Angoon,AK, 479,2105,2030,ANGOON ,Low Income Area/HPSA
13,99557,Aniak,AK, 333,2050,2050,BETHEL,Low Income Area/HPSA
14,99558,Anvik,AK, 279,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
15,99722,Arctic Village,AK, 152,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
16,99547,Atka,AK, 61,2016,2016,ALEUTIANS WEST,Low Income Area/HPSA
17,99723,Barrow,AK," 4,715",2185,2185,NORTH SLOPE,HPSA
18,99724,Beaver,AK, 84,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
19,99559,Bethel,AK," 11,725",2050,2050,BETHEL,Low Income Area/HPSA
20,99726,Bettles Field,AK, 76,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
21,99785,Brevig Mission,AK, 388,2180,2180,NOME,Low Income Area/HPSA
22,99727,Buckland,AK, 416,2188,2188,NORTHWEST ARTIC,Low Income Area/HPSA
23,99729,Cantwell,AK, 320,2068,2068,DENALI ,HPSA
24,99730,Central,AK, 121,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
25,99561,Chefornak,AK, 418,2050,2050,BETHEL,Low Income Area/HPSA
26,99564,Chignik,AK, 91,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
27,99565,Chignik Lagoon,AK, 78,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
28,99733,Circle,AK, 39,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
29,99569,Clarks Point,AK, 66,2070,2070,DILLINGHAM,Low Income Area/HPSA
30,99704,Clear,AK, 345,2068,2068,DENALI ,Low Income Area/HPSA
31,99571,Cold Bay,AK, 163,2013,2013,ALEUTIANS EAST,Low Income Area/HPSA
32,99573,Copper Center,AK," 1,869",2261,2260,VALDZ-CHITNA-WHITIER ,Low Income Area/HPSA
33,99574,Cordova,AK," 2,256",2261,2260,VALDZ-CHITNA-WHITIER ,HPSA
34,99921,Craig,AK," 1,534",2198,2200,PRINCE OF WALES ,Low Income Area/HPSA
35,99575,Crooked Creek,AK, 1,2050,2050,BETHEL,HPSA
36,99736,Deering,AK, 122,2188,2188,NORTHWEST ARTIC,Low Income Area/HPSA
37,99737,Delta Junction,AK," 4,981",2240,2240,SOUTHEAST FAIRBANKS,HPSA
38,99755,Denali National Park,AK, 21,2068,2068,DENALI ,HPSA
39,99576,Dillingham,AK," 3,239",2070,2070,DILLINGHAM,Low Income Area/HPSA
40,99578,Eek,AK, 669,2050,2050,BETHEL,Low Income Area/HPSA
41,99579,Egegik,AK, 66,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
42,99702,Eielson AFB,AK," 2,668",2090,2090,FAIRBANKS NORTH STAR,HPSA
43,99580,Ekwok,AK, 115,2070,2070,DILLINGHAM,Low Income Area/HPSA
44,99825,Elfin Cove,AK, 22,2105,2030,ANGOON ,Low Income Area/HPSA
45,99739,Elim,AK, 330,2180,2180,NOME,Low Income Area/HPSA
46,99506,Elmendorf AFB,AK," 7,749",2020,2020,ANCHORAGE,Low Income Area
47,99701,Fairbanks,AK," 18,695",2090,2090,FAIRBANKS NORTH STAR,Low Income Area/HPSA
48,99709,Fairbanks,AK," 31,033",2090,2090,FAIRBANKS NORTH STAR,HPSA
49,99712,Fairbanks,AK, 2,2090,2090,FAIRBANKS NORTH STAR,HPSA
50,99712,Fairbanks,AK," 14,090",2090,2090,FAIRBANKS NORTH STAR,HPSA
51,99583,False Pass,AK, 35,2013,2013,ALEUTIANS EAST,Low Income Area/HPSA
52,99505,Fort Richardson,AK," 6,174",2020,2020,ANCHORAGE,Low Income Area
53,99703,Fort Wainwright,AK," 7,325",2090,2090,FAIRBANKS NORTH STAR,Low Income Area/HPSA
54,99740,Fort Yukon,AK, 616,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
55,99586,Gakona,AK, 291,2261,2260,VALDZ-CHITNA-WHITIER ,Low Income Area/HPSA
56,99741,Galena,AK, 90,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
57,99742,Gambell,AK, 681,2180,2180,NOME,Low Income Area/HPSA
58,99588,Glennallen,AK, 792,2261,2260,VALDZ-CHITNA-WHITIER ,Low Income Area/HPSA
59,99589,Goodnews Bay,AK, 243,2050,2050,BETHEL,Low Income Area/HPSA
60,99826,Gustavus,AK, 517,2105,2030,ANGOON ,Low Income Area/HPSA
61,99827,Haines,AK, 95,2100,2100,HAINES,HPSA
62,99743,Healy,AK," 1,419",2068,2068,DENALI ,HPSA
63,99743,Healy,AK, 164,2068,2068,DENALI ,HPSA
64,99602,Holy Cross,AK, 178,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
65,99603,Homer,AK," 10,252",2122,2122,KENAI PENINSULA,Low Income Area
66,99829,Hoonah,AK," 1,037",2105,2030,ANGOON ,Low Income Area/HPSA
67,99604,Hooper Bay,AK," 2,031",2270,2270,WADE HAMPTON,Low Income Area/HPSA
68,99745,Hughes,AK, 12,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
69,99746,Huslia,AK, 254,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
70,99922,Hydaburg,AK, 493,2198,2200,PRINCE OF WALES ,Low Income Area/HPSA
71,99923,Hyder,AK, 92,2198,2200,PRINCE OF WALES ,HPSA
72,99606,Iliamna,AK, 311,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
73,99801,Juneau,AK, 3,2110,2110,JUNEAU,HPSA
74,99747,Kaktovik,AK, 239,2185,2185,NORTH SLOPE,Low Income Area/HPSA
75,99607,Kalskag,AK, 210,2050,2050,BETHEL,Low Income Area/HPSA
76,99748,Kaltag,AK, 190,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
77,99950,Ketchikan,AK, 808,2130,2130,KETCHIKAN GATEWAY,Low Income Area/HPSA
78,99901,Ketchikan,AK," 12,167",2130,2130,KETCHIKAN GATEWAY,HPSA
79,99749,Kiana,AK, 636,2188,2188,NORTHWEST ARTIC,Low Income Area/HPSA
80,99612,King Cove,AK, 938,2013,2013,ALEUTIANS EAST,Low Income Area/HPSA
81,99613,King Salmon,AK, 229,2060,2060,BRISTOL BAY BOROUGH,HPSA
82,99614,Kipnuk,AK, 365,2050,2050,BETHEL,Low Income Area/HPSA
83,99750,Kivalina,AK," 1,223",2188,2188,NORTHWEST ARTIC,Low Income Area/HPSA
84,99925,Klawock,AK, 793,2198,2200,PRINCE OF WALES ,Low Income Area/HPSA
85,99751,Kobuk,AK, 414,2188,2188,NORTHWEST ARTIC,Low Income Area/HPSA
86,99620,Kotlik,AK, 577,2270,2270,WADE HAMPTON,Low Income Area/HPSA
87,99752,Kotzebue,AK," 3,871",2188,2188,NORTHWEST ARTIC,Low Income Area/HPSA
88,99753,Koyuk,AK, 332,2180,2180,NOME,Low Income Area/HPSA
89,99621,Kwethluk,AK, 181,2050,2050,BETHEL,Low Income Area/HPSA
90,99622,Kwigillingok,AK, 59,2050,2050,BETHEL,Low Income Area/HPSA
91,99757,Lake Minchumina,AK, 13,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
92,99625,Levelock,AK, 293,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
93,99626,Lower Kalskag,AK, 282,2050,2050,BETHEL,Low Income Area/HPSA
94,99756,Manley Hot Springs,AK, 97,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
95,99628,Manokotak,AK, 442,2070,2070,DILLINGHAM,Low Income Area/HPSA
96,99585,Marshall,AK, 726,2270,2270,WADE HAMPTON,Low Income Area/HPSA
97,99627,MC Grath,AK, 411,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
98,99630,Mekoryuk,AK, 191,2050,2050,BETHEL,Low Income Area/HPSA
99,99926,Metlakatla,AK," 1,490",2198,2200,PRINCE OF WALES ,Low Income Area/HPSA
100,99903,Meyers Chuck,AK, 20,2275,2275,Wrangell City and Borough,Low Income Area
101,99758,Minto,AK, 214,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
102,99632,Mountain Village,AK," 1,002",2270,2270,WADE HAMPTON,Low Income Area/HPSA
103,99634,Napakiak,AK, 184,2050,2050,BETHEL,Low Income Area/HPSA
104,99760,Nenana,AK, 177,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
105,99636,New Stuyahok,AK, 719,2070,2070,DILLINGHAM,Low Income Area/HPSA
106,99691,Nikolai,AK, 94,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
107,99638,Nikolski,AK, 18,2016,2016,ALEUTIANS WEST,Low Income Area/HPSA
108,99639,Ninilchik,AK, 978,2122,2122,KENAI PENINSULA,Low Income Area
109,99762,Nome,AK," 3,931",2180,2180,NOME,HPSA
110,99640,Nondalton,AK, 164,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
111,99763,Noorvik,AK, 841,2188,2188,NORTHWEST ARTIC,Low Income Area/HPSA
112,99705,North Pole,AK," 22,406",2090,2090,FAIRBANKS NORTH STAR,HPSA
113,99789,Nuiqsut,AK, 209,2185,2185,NORTH SLOPE,Low Income Area/HPSA
114,99765,Nulato,AK, 822,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
115,99647,Pedro Bay,AK, 41,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
116,99648,Perryville,AK, 113,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
117,99649,Pilot Point,AK, 80,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
118,99651,Platinum,AK, 68,2050,2050,BETHEL,Low Income Area/HPSA
119,99927,Point Baker,AK, 94,2198,2200,PRINCE OF WALES ,Low Income Area/HPSA
120,99766,Point Hope,AK, 674,2185,2185,NORTH SLOPE,Low Income Area/HPSA
121,99759,Point Lay,AK, 189,2185,2185,NORTH SLOPE,Low Income Area/HPSA
122,99653,Port Alsworth,AK, 6,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
123,99549,Port Heiden,AK, 102,2164,2164,LAKE AND PENINSULA,Low Income Area/HPSA
124,99734,Prudhoe Bay,AK," 2,361",2185,2185,NORTH SLOPE,HPSA
125,99655,Quinhagak,AK, 296,2050,2050,BETHEL,Low Income Area/HPSA
126,99656,Red Devil,AK, 103,2050,2050,BETHEL,Low Income Area/HPSA
127,99768,Ruby,AK, 156,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
128,99657,Russian Mission,AK, 6,2270,2270,WADE HAMPTON,Low Income Area/HPSA
129,99591,Saint George Island,AK, 102,2016,2016,ALEUTIANS WEST,Low Income Area/HPSA
130,99658,Saint Marys,AK, 616,2270,2270,WADE HAMPTON,Low Income Area/HPSA
131,99659,Saint Michael,AK, 401,2180,2180,NOME,Low Income Area/HPSA
132,99660,Saint Paul Island,AK, 479,2016,2016,ALEUTIANS WEST,Low Income Area/HPSA
133,99714,Salcha,AK," 1,364",2090,2090,FAIRBANKS NORTH STAR,Low Income Area/HPSA
134,99661,Sand Point,AK, 978,2013,2013,ALEUTIANS EAST,Low Income Area/HPSA
135,99769,Savoonga,AK, 671,2180,2180,NOME,Low Income Area/HPSA
136,99662,Scammon Bay,AK, 480,2270,2270,WADE HAMPTON,Low Income Area/HPSA
137,99665,Shageluk,AK, 83,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
138,99771,Shaktoolik,AK, 251,2180,2180,NOME,Low Income Area/HPSA
139,99772,Shishmaref,AK, 563,2180,2180,NOME,Low Income Area/HPSA
140,99840,Skagway,AK, 968,2230,2230,Skagway,Low Income Area/HPSA
141,99668,Sleetmute,AK, 6,2050,2050,BETHEL,Low Income Area/HPSA
142,99670,South Naknek,AK, 766,2060,2060,BRISTOL BAY BOROUGH,HPSA
143,99671,Stebbins,AK, 556,2180,2180,NOME,Low Income Area/HPSA
144,99676,Talkeetna,AK," 2,118",2170,2170,MATANUSKA-SUSITNA,Low Income Area/HPSA
145,99777,Tanana,AK, 246,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
146,99778,Teller,AK, 90,2180,2180,NOME,Low Income Area/HPSA
147,99919,Thorne Bay,AK, 290,2198,2200,PRINCE OF WALES ,Low Income Area/HPSA
148,99780,Tok,AK," 2,048",2240,2240,SOUTHEAST FAIRBANKS,Low Income Area/HPSA
149,99679,Tuluksak,AK, 373,2050,2050,BETHEL,Low Income Area/HPSA
150,99681,Tununak,AK," 1,197",2050,2050,BETHEL,Low Income Area/HPSA
151,99682,Tyonek,AK, 321,2122,2122,KENAI PENINSULA,Low Income Area
152,99684,Unalakleet,AK, 688,2180,2180,NOME,Low Income Area/HPSA
153,99685,Unalaska,AK," 4,376",2016,2016,ALEUTIANS WEST,Low Income Area/HPSA
154,99686,Valdez,AK, 8,2261,2260,VALDZ-CHITNA-WHITIER ,HPSA
155,99781,Venetie,AK, 149,2290,2290,YUKON-KOYUKUK,Low Income Area/HPSA
156,99782,Wainwright,AK, 556,2185,2185,NORTH SLOPE,Low Income Area/HPSA
157,99783,Wales,AK, 264,2180,2180,NOME,Low Income Area/HPSA
158,99784,White Mountain,AK, 346,2180,2180,NOME,Low Income Area/HPSA
159,99688,Willow,AK," 4,038",2170,2170,MATANUSKA-SUSITNA,HPSA
160,99929,Wrangell,AK," 2,341",2275,2275,Wrangell City and Borough,Low Income Area
161,99689,Yakutat,AK, 662,2282,2282,YAKUTAT BOROUGH ,HPSA
162,36310,Abbeville,AL," 6,713",1067,1330,HENRY,Low Income Area/HPSA
163,35005,Adamsville,AL," 7,999",1073,1360,JEFFERSON,Low Income Area
164,35540,Addison,AL," 2,680",1133,1660,WINSTON,Low Income Area/HPSA
165,35006,Adger,AL, 60,1073,1360,JEFFERSON,HPSA
166,35006,Adger,AL, 8,1073,1360,JEFFERSON,HPSA
167,35441,Akron,AL," 1,215",1065,1320,HALE,Low Income Area/HPSA
168,36720,Alberta,AL," 1,014",1131,1650,WILCOX,Low Income Area/HPSA
169,35950,Albertville,AL," 20,482",1095,1470,MARSHALL,Low Income Area/HPSA
170,35951,Albertville,AL," 13,598",1095,1470,MARSHALL,Low Income Area/HPSA
171,35010,Alexander City,AL," 20,692",1123,1610,TALLAPOOSA,Low Income Area/HPSA
172,36250,Alexandria,AL," 4,621",1015,1070,CALHOUN,Low Income Area
173,35442,Aliceville,AL," 5,029",1107,1530,PICKENS,Low Income Area/HPSA
174,35014,Alpine,AL," 4,150",1121,1600,TALLADEGA,Low Income Area/HPSA
175,35952,Altoona,AL," 7,786",1055,1270,ETOWAH,Low Income Area/HPSA
176,36420,Andalusia,AL," 12,619",1039,1190,COVINGTON,Low Income Area/HPSA
177,36421,Andalusia,AL," 4,604",1039,1190,COVINGTON,Low Income Area
178,35610,Anderson,AL, 310,1077,1380,LAUDERDALE,HPSA
179,35610,Anderson,AL," 1,753",1077,1380,LAUDERDALE,HPSA
180,36201,Anniston,AL," 19,890",1015,1070,CALHOUN,Low Income Area
181,36205,Anniston,AL, 709,1015,1070,CALHOUN,Low Income Area
182,36206,Anniston,AL," 11,451",1015,1070,CALHOUN,Low Income Area
183,35016,Arab,AL," 16,808",1095,1470,MARSHALL,Low Income Area/HPSA
184,35739,Ardmore,AL," 4,936",1083,1410,LIMESTONE,Low Income Area/HPSA
185,36311,Ariton,AL," 2,815",1045,1220,DALE,Low Income Area/HPSA
186,35541,Arley,AL," 3,547",1133,1660,WINSTON,Low Income Area/HPSA
187,36722,Arlington,AL, 567,1131,1650,WILCOX,Low Income Area/HPSA
188,36312,Ashford,AL," 6,218",1069,1340,HOUSTON,Low Income Area/HPSA
189,36251,Ashland,AL," 5,183",1027,1130,CLAY,Low Income Area/HPSA
